                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9707,                 5.3093,                 4.2318,                0.00266,                0.04847,                0.00284,                 0.0008,                 2.2914,                  5.625,                 4.1053,                  0.091,                  0.001,                  0.001
                      2,                 2.7862,                 5.0647,                 4.0862,                 0.0028,                0.04994,                0.00206,                0.00055,                 2.2233,                 5.2876,                 3.9078,                0.08109,              0.0020896,              0.0020896
                      3,                 2.7832,                 4.5404,                  3.878,                0.00275,                0.04886,                0.00272,                0.00076,                 2.2212,                 4.9619,                 3.7811,               0.071168,              0.0031683,              0.0031683
                      4,                 2.6314,                 3.8234,                  3.686,                0.00274,                0.04779,                0.00289,                 0.0008,                 2.1995,                 4.9449,                   3.71,               0.061236,              0.0042361,              0.0042361
                      5,                 2.3009,                 3.3337,                 3.4135,                0.00287,                0.04994,                0.00413,                0.00106,                 2.1731,                 4.9829,                 3.6651,               0.051293,              0.0052931,              0.0052931
                      6,                 2.1645,                  2.996,                 3.2022,                 0.0031,                0.05396,                0.00358,                0.00092,                 2.1472,                 4.9321,                 3.6421,               0.041339,              0.0063391,              0.0063391
                      7,                 1.9925,                 2.7727,                 2.9615,                 0.0046,                0.04886,                0.00421,                0.00112,                 2.1183,                 4.9527,                 3.6186,               0.031374,              0.0073743,              0.0073743
                      8,                 1.9467,                 2.5292,                 2.9146,                0.00465,                0.04886,                0.00404,                0.00103,                 2.0317,                 4.9592,                 3.5857,               0.021399,              0.0083985,              0.0083985
                      9,                 1.7807,                 2.3801,                 2.7191,                0.01144,                 0.1224,                0.02411,                0.01292,                 1.7973,                 4.7213,                 3.4289,               0.011412,              0.0094119,              0.0094119
                     10,                 1.7338,                 2.1992,                 2.6288,                0.42744,                0.26857,                0.32851,                0.17021,                 1.5381,                 3.2043,                 2.8847,              0.0095545,              0.0095545,              0.0095545
